code,response,type,date
x27020820,200,historical,2023-05-15
x03090820,404,historical,2023-05-15
x10160820,200,historical,2023-05-15
x17230820,200,historical,2023-05-15
x24300820,404,historical,2023-05-15
x31060920,200,historical,2023-05-15
x07130920,200,historical,2023-05-15
x14200920,200,historical,2023-05-15
x21270920,200,historical,2023-05-15
x28041020,200,historical,2023-05-15
x05111020,200,historical,2023-05-15
x12181020,404,historical,2023-05-15
x19251020,200,historical,2023-05-15
x26011120,404,historical,2023-05-15
x02081120,404,historical,2023-05-15
x09151120,200,historical,2023-05-15
x16221120,200,historical,2023-05-15
x23291120,404,historical,2023-05-15
x30061220,200,historical,2023-05-15
x07131220,200,historical,2023-05-15
x14201220,200,historical,2023-05-15
x21271220,404,historical,2023-05-15
x28030121,404,historical,2023-05-15
x04100121,200,historical,2023-05-15
x11170121,404,historical,2023-05-15
x18240121,200,historical,2023-05-15
x25310121,200,historical,2023-05-15
x01070221,404,historical,2023-05-15
x08140221,404,historical,2023-05-15
x15210221,404,historical,2023-05-15
x22280221,200,historical,2023-05-15
x01070321,200,historical,2023-05-15
x08140321,200,historical,2023-05-15
x15210321,404,historical,2023-05-15
x22280321,200,historical,2023-05-15
x29040421,200,historical,2023-05-15
x05110421,404,historical,2023-05-15
x12180421,200,historical,2023-05-15
x19250421,200,historical,2023-05-15
x26020521,200,historical,2023-05-15
x03090521,200,historical,2023-05-15
x10160521,200,historical,2023-05-15
x17230521,200,historical,2023-05-15
x24300521,404,historical,2023-05-15
x31060621,200,historical,2023-05-15
x07130621,200,historical,2023-05-15
x14200621,200,historical,2023-05-15
x21270621,200,historical,2023-05-15
x28040721,404,historical,2023-05-15
x05110721,200,historical,2023-05-15
x12180721,200,historical,2023-05-15
x19250721,404,historical,2023-05-15
x26010821,404,historical,2023-05-15
x02080821,404,historical,2023-05-15
x09150821,200,historical,2023-05-15
x16220821,200,historical,2023-05-15
x23290821,200,historical,2023-05-15
x30050921,404,historical,2023-05-15
x06120921,200,historical,2023-05-15
x13190921,200,historical,2023-05-15
x20260921,200,historical,2023-05-15
x27031021,200,historical,2023-05-15
x04101021,200,historical,2023-05-15
x11171021,200,historical,2023-05-15
x18241021,200,historical,2023-05-15
x25311021,200,historical,2023-05-15
x01071121,200,historical,2023-05-15
x08141121,200,historical,2023-05-15
x15211121,200,historical,2023-05-15
x22281121,200,historical,2023-05-15
x29051221,200,historical,2023-05-15
