heading,merged_description,curated_description,mapped_to
810700000,Caquis (persimonios).,Caquis (persimonios),
810901000,"Granadilla, ""maracuya"" (parchita) y demas frutas de la pasion (Passiflora spp.). Granadilla, «maracuyá» (parchita) y demás frutas de la pasión (Passiflora spp).","Granadilla, maracuya (parchita) y demas frutas de la pasion (Passiflora spp.) frescas",
810902000,"Chirimoya, guanabana y demas anonas (Annona spp.). Chirimoya, guanábana y demás anonas (Annona spp).","Chirimoya, guanábana y demás anonas (Annona spp.) frescas",
810903000,"Tomate de árbol (lima tomate, tamarillo) (Cyphomandra betacea). Tomate de arbol (lima tomate, tamarillo) (Cyphomandra betacea).","Tomate de árbol (lima tomate, tamarillo) (Cyphomandra betacea) frescos",
810904000,Pitahayas (Cereus spp). Pitahayas (Cereus spp.).,Pitahayas (Cereus spp.) frescas,
810905000,"Uchuvas (uvillas) (Physalis peruviana). Uchuvas (uvillas) (Physalis peruviana). Uchuvas (aguaymanto, uvillas) (Physalis peruviana).","Uchuvas (aguaymanto, uvillas) (Physalis peruviana) frescas",
810909000,Los demas. Los demás. Los demás.,Otras frutas o frutos frescos,
811101000,FRESAS (FRUTILLAS) AZUCARADAS O EDULCORADAS. Con adicion de azucar u otro edulcorante. Con adición de azúcar u otro edulcorante.,"Fresas (frutillas) incluso cocidas, azucaradas o edulcoradas, congeladas",
811109000,"Las demas. Las demás. DEMAS FRESAS ( FRUTILLAS ), EXCL. AZUCARADAS O EDULCORADAS.","Fresas (frutillas) incluso cocidas, excepto azucaradas o edulcoradas, congeladas",
811200000,"Frambuesas, zarzamoras, moras, moras-frambuesa y grosellas.","Frambuesas, zarzamoras, moras, moras-frambuesa y grosellas incluso cocidas, congeladas",
811901000,Con adicion de azucar u otro edulcorante. DEMAS FRUTOS SIN COCER O COCIDOS AZUCARAD. O EDULCORADOS. Con adición de azúcar u otro edulcorante.,"Otras frutas y frutos incluso cocidos, azucarados o edulcorados",
811909100,Mango (Mangifera indica L).,"Mango (Mangifera indica L) incluso cocidos, congelados",
811909200,Camu Camu (Myrciaria dubia).,"Camu Camu (Myrciaria dubia) incluso cocidos, congelados",
811909300,Lúcuma (Lúcuma obovata).,"Lúcuma (Lúcuma obovata) includo cocidas, congeladas",
811909400,«Maracuyá» (parchita) (Passiflora edulis).,"Maracuyá (parchita) (Passiflora edulis) incluso cocidas, congeladas",
811909500,Guanábana (Annona muricata).,"Guanábana (Annona muricata) incluso cocidas, congeladas",
811909600,Papaya .,"Papaya incluso cocidas, congeladas",
811909900,Los demás.,"Otros frutas o frutos incluso cocidos, congelados",
812902000,"Duraznos (melocotones), incluidos los griñones y nectarinas. DURAZNOS (MELOCOTONES) CONSERVADOS PROVISIONALMENTE. Duraznos (melocotones), incluidos los griñones y nectarinas.","Duraznos (melocotones), incluidos los griñones y nectarinas conservadas provisionalmente para consumo inmediato",
812909000,DEMAS FRUTOS CONSERVADOS PROVISIONALM.(EJEM.GAS SULFUROSO). Los demas. Los demás.,Otras frutas y frutos conservados provisionalmente para consumo inmediato,
813100000,"DAMASCOS (ALBARICOQUES) SECOS. Damascos (albaricoques, chabacanos). Damascos (albaricoques, chabacanos).","Damascos (albaricoques, chabacanos) secos",
813200000,Ciruelas. CIRUELAS SECAS. Ciruelas.,Ciruelas secas,
813300000,MANZANAS SECAS. Manzanas. Manzanas.,Manzanas secas,
813400000,Las demas frutas u otros frutos. Las demás frutas u otros frutos.,Otros frutas o frutos secos,
813500000,"Mezclas de frutas u otros frutos, secos, o de frutos de cascara de este Capitulo. MEZCLA DE FRUTOS SECOS O FRUTOS D'CASCARA DEL CAPITULO. Mezclas de frutas u otros frutos, secos, o de frutos de cáscara de este Capítulo.",Mezcla de frutas o frutos secos,
814001000,"De limón (limón sutil, limón común, limón criollo) (Citrus aurantifolia).","Corteza de (limón sutil, limón común, limón criollo) (Citrus aurantifolia)",
814009000,Las demás.,Otras cortezas de agrios (cítricos),
